cod_comuna,ano,homicidios_total,homicidios_jovenes
01,2003,119,83
01,2004,36,26
01,2005,24,16
01,2006,23,16
01,2007,24,15
01,2008,39,20
01,2009,180,113
01,2010,133,82
01,2011,25,18
01,2012,37,22
01,2013,20,8
01,2014,13,8
01,2015,8,2
01,2016,15,5
01,2017,12,3
01,2018,12,7
02,2003,115,71
02,2004,59,36
02,2005,20,9
02,2006,17,9
02,2007,13,9
02,2008,31,14
02,2009,62,40
02,2010,93,51
02,2011,28,15
02,2012,29,18
02,2013,20,9
02,2014,17,6
02,2015,21,7
02,2016,8,4
02,2017,16,8
02,2018,11,4
03,2003,119,72
03,2004,52,30
03,2005,30,17
03,2006,36,18
03,2007,32,20
03,2008,59,31
03,2009,197,119
03,2010,172,104
03,2011,86,52
03,2012,49,21
03,2013,32,11
03,2014,21,13
03,2015,13,6
03,2016,13,8
03,2017,14,4
03,2018,17,9
04,2003,139,76
04,2004,80,42
04,2005,67,31
04,2006,81,27
04,2007,67,27
04,2008,114,54
04,2009,191,95
04,2010,158,74
04,2011,111,61
04,2012,91,47
04,2013,54,30
04,2014,45,17
04,2015,32,14
04,2016,26,13
04,2017,27,11
04,2018,39,17
05,2003,119,73
05,2004,85,38
05,2005,48,25
05,2006,69,38
05,2007,49,25
05,2008,65,28
05,2009,159,93
05,2010,126,73
05,2011,103,63
05,2012,42,20
05,2013,45,27
05,2014,56,36
05,2015,46,25
05,2016,57,31
05,2017,32,19
05,2018,26,11
06,2003,115,74
06,2004,79,47
06,2005,47,26
06,2006,40,20
06,2007,56,40
06,2008,78,38
06,2009,199,119
06,2010,132,78
06,2011,96,67
06,2012,52,33
06,2013,48,29
06,2014,40,19
06,2015,23,9
06,2016,22,11
06,2017,28,13
06,2018,23,13
07,2003,113,79
07,2004,88,37
07,2005,41,21
07,2006,58,26
07,2007,46,23
07,2008,53,25
07,2009,134,63
07,2010,111,72
07,2011,100,54
07,2012,69,35
07,2013,71,35
07,2014,59,26
07,2015,45,30
07,2016,57,32
07,2017,70,42
07,2018,55,27
08,2003,94,65
08,2004,46,22
08,2005,37,14
08,2006,40,16
08,2007,45,24
08,2008,57,32
08,2009,118,77
08,2010,118,71
08,2011,124,72
08,2012,111,65
08,2013,58,32
08,2014,32,16
08,2015,22,13
08,2016,29,10
08,2017,21,7
08,2018,20,9
09,2003,85,55
09,2004,45,19
09,2005,34,21
09,2006,40,13
09,2007,37,15
09,2008,34,19
09,2009,57,33
09,2010,61,31
09,2011,50,23
09,2012,40,21
09,2013,30,13
09,2014,20,11
09,2015,9,3
09,2016,16,8
09,2017,13,5
09,2018,7,3
10,2003,226,99
10,2004,165,77
10,2005,102,45
10,2006,122,53
10,2007,105,50
10,2008,129,52
10,2009,202,88
10,2010,201,78
10,2011,168,81
10,2012,145,65
10,2013,142,57
10,2014,116,45
10,2015,90,37
10,2016,98,43
10,2017,103,48
10,2018,108,40
11,2003,69,27
11,2004,65,23
11,2005,33,11
11,2006,34,11
11,2007,29,5
11,2008,40,15
11,2009,78,33
11,2010,51,15
11,2011,41,15
11,2012,45,18
11,2013,38,13
11,2014,30,14
11,2015,28,9
11,2016,21,9
11,2017,23,8
11,2018,32,12
12,2003,34,16
12,2004,37,14
12,2005,24,11
12,2006,23,9
12,2007,20,6
12,2008,20,8
12,2009,43,21
12,2010,40,18
12,2011,39,17
12,2012,26,13
12,2013,22,12
12,2014,8,3
12,2015,9,5
12,2016,14,5
12,2017,12,4
12,2018,30,19
13,2003,72,51
13,2004,38,24
13,2005,39,20
13,2006,45,24
13,2007,64,36
13,2008,87,56
13,2009,188,129
13,2010,228,155
13,2011,220,154
13,2012,162,100
13,2013,114,78
13,2014,64,45
13,2015,30,19
13,2016,38,22
13,2017,48,25
13,2018,92,65
14,2003,27,14
14,2004,20,4
14,2005,13,2
14,2006,18,4
14,2007,17,4
14,2008,16,5
14,2009,19,8
14,2010,22,8
14,2011,17,2
14,2012,6,1
14,2013,7,2
14,2014,11,1
14,2015,5,2
14,2016,8,1
14,2017,7,1
14,2018,11,3
15,2003,54,31
15,2004,47,18
15,2005,38,16
15,2006,36,15
15,2007,48,16
15,2008,48,21
15,2009,57,30
15,2010,66,29
15,2011,69,30
15,2012,56,24
15,2013,35,20
15,2014,29,15
15,2015,28,14
15,2016,26,12
15,2017,26,11
15,2018,30,13
16,2003,67,36
16,2004,71,42
16,2005,45,21
16,2006,51,21
16,2007,37,5
16,2008,66,19
16,2009,105,54
16,2010,97,47
16,2011,110,54
16,2012,79,39
16,2013,52,23
16,2014,34,11
16,2015,31,17
16,2016,33,16
16,2017,48,23
16,2018,41,18
50,2011,5,1
50,2012,1,NA
50,2014,1,1
50,2015,1,1
50,2016,3,1
50,2017,2,NA
60,2003,23,12
60,2004,8,6
60,2005,4,4
60,2006,4,3
60,2007,8,5
60,2008,9,6
60,2009,27,12
60,2010,70,39
60,2011,72,47
60,2012,64,43
60,2013,52,33
60,2014,35,27
60,2015,24,16
60,2016,30,19
60,2017,39,28
60,2018,21,14
70,2003,1,NA
70,2004,1,NA
70,2005,2,1
70,2006,1,1
70,2007,2,1
70,2008,4,3
70,2009,13,7
70,2010,26,13
70,2011,46,26
70,2012,45,32
70,2013,29,16
70,2014,11,8
70,2015,14,8
70,2016,12,9
70,2017,22,12
70,2018,44,31
80,2003,23,12
80,2004,4,2
80,2005,7,3
80,2006,9,4
80,2007,4,3
80,2008,3,1
80,2009,59,37
80,2010,45,27
80,2011,109,66
80,2012,77,44
80,2013,41,20
80,2014,8,6
80,2015,14,4
80,2016,15,8
80,2017,17,7
80,2018,15,10
90,2003,10,7
90,2004,1,NA
90,2005,7,6
90,2006,1,NA
90,2008,1,1
90,2009,7,4
90,2010,9,3
90,2011,21,11
90,2012,18,8
90,2013,11,5
90,2014,9,4
90,2015,3,NA
90,2016,3,1
90,2017,2,2
NA,2003,383,235
NA,2004,160,87
NA,2005,120,60
NA,2006,56,22
NA,2007,68,30
NA,2008,92,37
NA,2009,91,53
NA,2010,63,38
NA,2011,11,5
NA,2012,4,2
NA,2013,6,3
